headword,pos,level,sentence,source_grammar_lesson_id
dominantly,adverb,C1,"When the new policy is implemented, it will dominantly affect the company's operational procedures.",103
fit,adjective,A2,This dress is not fit for a party.,85
allege,verb,C1,They allege continuing to obstruct the investigation.,170
neutralization/neutralisation,noun,C1,What have you got to facilitate the neutralization of the acid?,13
direct,verb,B1,She directed the whole project.,127
obsess,verb,B2,He is often said to obsess over details too much.,144
verandah,noun,C1,She decided to repaint the entire verandah herself.,101
mechanical,adjective,B1,The old clock spoke with a mechanical tick.,128
astonished,adjective,B2,We were astonished when we were allowed to enter the backstage area.,142
hardship,noun,B1,We grew stronger after facing much hardship.,130
delicatessen,noun,C2,The freshly baked bread from the delicatessen has been purchased.,166
pendulum,noun,C1,"The ancient clock’s pendulum, having swung for centuries, at last met its stillness.",153
yummy,adjective,B2,She *sang* a *yummy* lullaby to her baby.,152
firmly,adverb,B1,She held the door firmly open for me.,115
graduate,verb,A2,Will you graduate from university next year?,80
anyway,adverb,A2,"Can you help me find my keys, anyway?",86
tranquilize/tranquilise,verb,C2,The vet decided to tranquilise the nervous dog before examining it.,169
kangaroo,noun,B2,A captured kangaroo proved too much to handle for the small zoo.,143
impressionistically,adverb,C2,"The artist painted the landscape impressionistically, capturing the fleeting light and mood.",148
mercy,noun,B2,"The exhausted soldiers pleaded for mercy, hoping their captors would show some leniency.",149
heartwarming/heart-warming,adjective,B2,The donation proved to be a heartwarming gesture from the community.,143
well-known,adjective,A2,You mustn't forget that this is a well-known fact.,91
magnetism,noun,C1,The rock's magnetism can be measured by a specialized device.,147
screenwriter,noun,C1,One screenwriter - many screenwriters,30
encouraging,adjective,B1,Her kind words were very encouraging after the difficult test.,125
raunchy,adjective,C1,The comedian told a rather raunchy joke that amused them.,46
stick,verb,B1,The children stuck their drawings on the fridge.,124
tetchy,adjective,C2,The boss seemed a bit tetchy this morning.,156
clarify,verb,B2,I need to clarify to understand the instructions better.,167
coast,noun,A2,We can see the coast from our window.,84
moss,noun,B1,The old stone wall grew thick with green moss.,121
retrospect,noun,B1,"In retrospect, I wish I had studied harder in school.",135
barbecue,verb,B1,We barbecued sausages at the park last weekend.,128
informal,adjective,B2,Some of their conversations were quite informal.,171
irresistibly,adverb,B2,The scent of freshly baked bread drew the cat irresistibly towards the kitchen.,154
clip,noun,B1,"She was wearing a small, decorative clip in her hair.",122
score,noun,B1,The team achieved a high score in the competition.,124
spot,noun,A1,one spot - five spots,28
delightful,adjective,B1,The sunny afternoon brought a delightful surprise.,129
high,adverb,A2,Who may jump high?,100
filling,noun,B1,He broke off a piece of cake with chocolate filling.,128
good-looking,adjective,A2,"He can be a good-looking actor, can't he?",89
sad,adjective,A1,I am sad today.,24
westward,adverb,B1,The sun sank westward.,131
caffeinate,verb,C2,I have just caffeinated and now I feel ready to go.,160
unmanned,adjective,C1,What colour is the unmanned drone?,22
function,verb,A2,This new app doesn't function as well as the old one.,110
subtitle,noun,B2,The film's complex plot was illuminated by its thoughtful subtitle.,156
theme,noun,B2,"In case you are unsure about the main theme, we can discuss it further.",104
Soviet,noun,B2,Historians continue debating the reasons for the Soviet collapsing.,169
impractical,adjective,B2,"If we tried to build a house entirely out of paper, it would be completely impractical.",139
lead,noun,A2,Who will be the lead in the play?,82
fallen,adjective,B1,The fallen leaves covered the garden path.,119
gradually,adverb,A2,You must eat more vegetables gradually.,90
steel,noun,B1,The sculptor worked with steel.,129
monotony,noun,C1,"In case the relentless monotony of your work starts to get you down, remember that there are always opportunities for a change of pace.",104
hapless,adjective,C2,No hapless tourist could find their way through the dense fog.,173
emotion,noun,B1,That event caused a strong emotion.,127
Miss,noun,A1,Is there a Miss Smith here?,38
shimmer,verb,C2,The lake has just begun to shimmer in the early morning sun.,160
hand,noun,A1,Let's not touch that hand.,48
complimentary,adjective,C1,The hotel offered a complimentary breakfast to all guests who had booked their rooms in advance.,152
mortgage,noun,B2,She enjoys paying off her mortgage each month.,170
lab,noun,B1,She worked in the science lab yesterday.,114
finely,adverb,B2,She has learned to finely balance her demanding career with her family life.,169
plausibility,noun,C1,Is the plausibility of his explanation enough to convince you?,4
nickname,noun,B1,"He had a funny nickname in school, didn't he?",138
breakup,noun,B2,"After a difficult breakup, she found it hard to move on.",152
smokestack,noun,B2,The company has agreed to reduce the emissions from its towering smokestack.,167
big,adjective,A1,How much big cake do you want?,34
consideration,noun,B1,Your careful consideration helped us.,127
exotically,adverb,C1,"One rare bloom, often found exotically in remote rainforests, has twelve petals.",28
corporate,adjective,B2,"If the company had a stronger marketing strategy, the new product would surely achieve better corporate recognition.",139
surprise,noun,A1,I am a surprise.,68
fabulation,noun,C2,Her fabulation was discovered in the museum's archives.,159
late,adverb,A1,Is it too late?,4
sanitary,adjective,B2,The hospital corridor must remain sanitary.,159
wealthy,adjective,B2,Some wealthy investors are interested in funding the new project.,171
dread,verb,B2,What future challenges do you dread?,163
attribute,verb,B2,The team's recent failures cannot be attributed to a single cause.,173
sky,noun,A1,Has the bird got the blue sky?,17
freedom,noun,A2,We are fighting for freedom now.,72
courgette,noun,B1,"Yesterday, my neighbour gave me a huge courgette.",131
specifically,adverb,B2,"If she had remembered to buy ingredients, she would have baked a cake, but she didn't remember to buy them, so she isn't baking one, specifically for the party.",139
hone,noun,B2,"Do you have any sharpening stones, like a hone, to help me with my knives?",172
south,noun,A2,Who is traveling south now?,76
tacit,adjective,C2,"The agreement was tacit, understood without being spoken.",149
batter,noun,C1,The young baseball batter struck out.,116
spa,noun,B2,My back pain was treated at the spa.,159
race,verb,B1,The children raced to the swings.,130
newcomer,noun,B1,The newcomer grew tired after a long journey.,130
remorseful,adjective,C2,The thief felt remorseful after the stolen goods were found.,147
skateboarding,noun,A2,You may try skateboarding at the park.,96
recuperation,noun,C2,"After the surgery, his recuperation had been long but successful.",151
apple,noun,A1,Have you got an apple?,12
editor,noun,A2,Who can help me with my story? The editor can.,88
code,noun,A1,Does the computer use a secret code?,59
contempt,noun,B2,"He will be allowed to leave, but only after showing his contempt for the rules.",142
daytime,noun,B2,"During the daytime, the small seeds that had been planted earlier in the week had sprouted.",155
celebration,noun,A1,Don't spoil the celebration!,44
glide,noun,B1,Did you see the smooth glide of the dancer?,133
ingenuity,noun,C1,The ancient aqueducts were admired for their remarkable ingenuity.,145
antistatic,adjective,B2,The antistatic coating had been applied to prevent any electrical discharge.,155
citywide,adjective,B2,We anticipate citywide celebrations to begin next month.,170
phoenix,noun,B1,The mythical phoenix was a symbol of rebirth and renewal.,122
quotation,noun,B2,I always enjoy finding a perfect quotation to use.,169
tone,noun,A2,I must adopt a friendly tone.,90
complementary,adjective,C1,"The artist's abstract sculptures, often conceived and then hung, possessed a complementary visual weight to the gallery's stark architectural lines.",152
bicycle,noun,A1,It isn't a bicycle.,3
care,verb,B1,She cared for the plants diligently.,118
soldier,noun,A2,The soldier won't fight tomorrow.,79
decrease,noun,B1,There wasn't a significant decrease in sales last quarter.,132
extend,verb,B1,We extended our stay by a week.,118
genetics,noun,B1,The students studied genetics last semester.,117
possession,noun,B1,"She bought the antique vase, a valuable possession.",118
leave,noun,B1,His sudden leave surprised everyone.,131
hotel,noun,A1,Whose room is this in the hotel?,62
defeat,noun,B2,A crushing defeat can be devastating for any team.,147
recipe,noun,B2,My grandmother has a secret recipe for apple pie.,164
boil,verb,A2,"The water will boil soon, won't it?",83
expert,adjective,B2,The team hired an expert consultant to fix the complex software issue.,149
rumination,noun,C2,My past mistakes have been the subject of much rumination.,166
cello,noun,B2,What have you been practicing on the cello lately?,163
armory/armoury,noun,C2,The knights brought their swords from the armory.,149
vividly,adverb,B1,She remembered the day **vividly**.,137
sustainably,adverb,C1,This family has learned to farm their land more sustainably over the years.,24
certain,adjective,A2,You may not enter certain rooms.,97
attach,verb,B1,He attached a note to the report.,126
bizarre,adjective,B2,What a bizarre experience that was.,163
channel,noun,B1,He went through a narrow channel to reach the hidden bay.,122
tide,noun,B1,"The tide went out, revealing many shells on the beach.",130
sportsmanship,noun,B1,He learnt true sportsmanship when he dealt with the unexpected loss.,126
moving,adjective,B2,Her moving speech brought tears to many eyes.,143
essential,adjective,B1,Who made this project successful? The team's collaboration was essential.,136
sense,noun,A2,Can you make sense of this map?,86
curve,noun,B1,She spoke about the unexpected curve the project took.,128
tonight,adverb,A1,What kind of food do you want tonight?,53
olive oil,noun,A2,"In case you need it for your salad, there is some olive oil in the kitchen.",104
judo,noun,B2,Her new club offered judo classes for beginners.,143
elongate,verb,C1,The artist is carefully stretching the clay to elongate the neck of the vase.,71
anticipate,verb,B2,We anticipate receiving your application by the end of the week.,170
reporter,noun,A1,Is it a reporter?,4
bacon,noun,B1,"You didn't cook the bacon this morning, did you?",138
comply,verb,C1,He has got to comply with the new regulations.,14
whole,noun,B1,She bought the whole cake.,118
loom,verb,C1,What has the future got looming over us?,18
knowledgeable,adjective,C1,One colleague was surprisingly knowledgeable about ancient civilizations.,24
successfully,adverb,A2,Who will complete the project successfully?,82
portrayal,noun,C1,The actor's sensitive portrayal of the character meant a lot to the audience.,153
walk,noun,A1,Are there any good walks nearby?,41
agony,noun,B2,"After he fought the relentless infection, the lingering agony was almost unbearable.",149
micro,noun,B2,"If we could manage to get even a micro of funding, we would be able to start the project next week.",139
argue,verb,A2,Must we argue about this again?,92
petty,adjective,B2,There was no petty argument that could ruin their friendship.,173
say,noun,B2,The last say on the matter was given to the manager.,145
shameful,adjective,B1,"That was a shameful thing to do, wasn't it?",138
assumption,noun,B2,My initial assumption was that she had already rung the bell.,152
typically,adverb,B1,Who was typically late for meetings?,137
open,adjective,A1,one door - five doors open,28
editorial,noun,B2,There was no editorial in the newspaper that addressed the local housing crisis.,173
ample,adjective,B2,"The room was so large, with ample space for all the guests to be seated comfortably.",154
worrying,adjective,B2,Is that worrying news being considered?,158
shake,noun,A1,Let's not make a shake.,48
provocatively,adverb,C1,"She spoke provocatively, daring him to respond.",112
chief,noun,B2,The chief architect will be consulted on the new design.,146
divergent,adjective,C1,What divergent paths will technological advancements lead humanity down in the next century?,81
bookmark,noun,B2,My favorite page in the novel is marked with a beautiful leather bookmark.,144
pressure,noun,A2,I will feel a lot of pressure to finish the project on time.,78
improved,adjective,B2,Is the recipe really improved?,158
wet,adjective,A2,We are walking in the wet grass.,72
austerity,noun,C2,The government's austerity measures have cost many jobs.,148
blitz,noun,C2,The team's defensive blitz was a success.,150
wrongly,adverb,B2,She sang the melody wrongly at the audition.,152
undaunted,adjective,C1,"Who can continue their research, undaunted by the initial setbacks?",88
reconcile,verb,C2,We have just reconciled our differences.,160
digitalize/digitalise,verb,C1,"In case the archive materials are not readily accessible, we will need to digitalize them before the exhibition.",104
blame,verb,A2,We are not blaming you for this mistake.,72
retina,noun,B2,Some damage to the retina can be permanent.,171
hasty,adjective,B1,I didn't make a hasty decision.,132
tantrum,noun,C1,His toddler's public tantrum is often attributed to an overabundance of sugary snacks.,144
anchorman,noun,B2,The anchorman will be interviewed by the press.,146
chaos,noun,B1,The old alarm clock broke the morning chaos.,128
digest,noun,B2,Some people find this book a difficult digest.,171
knock,verb,B1,He knocked on the door several times.,121
except,conjunction,A2,"You can bring all your friends, except for Mark, can you?",89
zone,noun,A2,He isn't working in the quiet zone.,73
recycling,noun,B1,I felt good about the recycling program we started.,120
tennis,noun,A1,I haven't got a tennis racket.,11
frigate,noun,B2,The old frigate was finally restored to its former glory.,156
resident,noun,B2,The homeowner admitted allowing the resident to stay longer than agreed.,169
crossroads,noun,B1,"Last year the company stood at a crossroads, but this year it's growing quickly.",125
actual,adjective,B2,The report was seen by the actual manager yesterday.,145
frighten,verb,A2,What will frighten the cat in the dark?,81
ethical,adjective,C1,What has the company got in terms of an ethical framework?,18
critic,noun,B1,The reviewer was a harsh critic of the play.,121
mover,noun,B2,Your furniture will be moved by a professional mover.,146
chili/chilli,noun,A2,This chili isn't as spicy as that chili.,110
mimic,noun,B2,There was no mimic of his distinctive laugh.,173
outrageous,adjective,B2,I've never encountered such an outrageous price for a simple coffee before.,161
material,noun,A2,This is the third material we tried.,113
price,noun,A1,It's a low price.,2
impeccable,adjective,C2,His service record had been impeccable.,153
wage,noun,B2,He brought home a good wage last week.,149
leisure,noun,A2,What can we do in our leisure time?,87
tranquil,adjective,C1,She longed to return to the tranquil solitude of her childhood home.,167
winter,noun,A1,Don't play in the snow in winter.,44
gushingly,adverb,C1,Does she always praise her colleagues gushingly after every minor success?,50
dependent,adjective,B1,He was dependent on his family for support when he first moved out.,122
broadcast,verb,B2,We are allowed to broadcast our own music on this platform.,142
shame,noun,B1,It was a shame they couldn't come.,129
stab,verb,B2,"You've been in a situation where someone tried to stab you, haven't you?",165
verve,noun,C1,She sang the aria with such verve that the audience was spellbound.,152
boldly,adverb,B1,She stepped forward boldly.,127
crossing,noun,B1,The careful crossing of the road took several minutes.,125
bloodstream,noun,B2,The doctor has agreed to monitor the patient's bloodstream closely.,167
angle,noun,B1,He looked at the problem from a different angle yesterday.,125
eighteen,number,A1,Don't eat eighteen apples.,44
upper,adjective,B1,"Yesterday, she painted the upper part of the wall blue.",125
mark-up,noun,C1,The retail store added a significant mark-up on the imported designer goods.,35
quality,adjective,B1,She bought a quality wool coat last winter.,118
cure,noun,B1,The doctors found a cure for the disease.,127
nor,conjunction,B1,"He didn't hurt himself, nor did he break anything.",116
afford,verb,B1,We couldn't afford the expensive tickets last week.,125
tinker,noun,C1,That little tinker must have been rearranging the shed again; all my tools are in the wrong place.,177
level,adjective,B1,Who was the level best player?,137
represent,verb,A2,The teacher must represent the students.,94
smattering,noun,C2,Have you got a smattering of French?,162
danger,noun,A2,What must we avoid? We must avoid the danger.,93
adult,adjective,A2,Will you need adult supervision at the concert?,80
voyage,noun,B1,Did the brave explorers complete their long voyage?,133
rice,noun,A1,Is there rice in the kitchen?,38
honey,noun,A2,What can we put in our tea? We can put some honey.,87
microbe,noun,B2,The sample was carefully examined for any trace of a harmful microbe.,166
trolley,noun,B2,Do you have any spare change for the shopping trolley?,172
telltale,adjective,C1,The telltale smudge on his collar revealed his earlier escapade.,129
misery,noun,B1,The long wait caused him great misery.,115
fall,verb,A2,May I fall asleep now?,98
base,verb,B1,Who was based in London for the meeting?,137
utilization/utilisation,noun,C2,The utilization of new technology has been beneficial for the company.,151
proponent,noun,B2,Some proponents of the new policy believe it will significantly improve the local economy.,171
cold,noun,A1,How much cold do you feel?,34
juror,noun,B2,The final juror was sworn in this morning.,151
marathon,noun,B2,Have you ever run a marathon?,162
willingly,adverb,B2,The lost puppy was willingly taken in by the kind old woman.,159
quarrel,verb,B2,They always seem to quarrel about the smallest things.,167
limit,verb,B1,Did you limit your spending last month?,133
demystify,verb,C2,"With practice, you will be able to demystify even the most complex theories.",141
scientific,adjective,A2,We are doing scientific experiments today.,72
detect,verb,B2,Was the unusual signal detected by the observatory?,158
dissatisfaction,noun,B2,The workers tended to express their dissatisfaction to the management.,168
tiredness,noun,B2,"If I hadn't stayed up so late, my tiredness wouldn't be affecting my concentration so much today.",139
impolite,adjective,B2,It was rather impolite of them to leave without saying goodbye.,167
pitch,verb,B2,He didn't pitch any ideas during the meeting.,173
dutiful,adjective,C1,The diligent student offers his teacher a dutifully prepared report each week.,57
violence,noun,B1,The news reported on past violence.,117
fallacy,noun,C2,I consider believing that is a fallacy.,170
promptly,adverb,B2,She vowed to respond promptly to all customer inquiries.,168
guard,noun,A2,"The guard will watch the door, won't he?",83
curry,noun,A2,"You're cooking curry for dinner, aren't you?",77
gaudy,adjective,B2,Her gaudy dress won't be overlooked at the party.,146
civilization/civilisation,noun,B1,That ancient civilization was very advanced.,137
below,preposition,A1,Is this a sharp pencil below?,7
fit,noun,B2,The unexpected noise sent a fit of shivers down his spine.,153
plot,noun,B2,"If the detective hadn't uncovered the villain's treacherous plot, the city would have been in grave danger.",139
eclectic,noun,C1,Her playlist was a curated eclectic of jazz fusion and obscure 80s synth-pop.,143
fork,noun,A2,Who may use the fork?,100
southeast,adjective,B1,The explorers slept soundly in their southeast camp.,120
injustice,noun,C1,Whose silence contributes to the perpetuation of such injustice?,55
suds,noun,C1,That wasn't the brand of suds I used for the dishes.,134
neither,adverb,B2,"She never felt comfortable with public speaking, and neither did I.",150
billiards,noun,C1,She spoke about her impressive win at the billiards tournament.,128
gold,noun,A2,Where will we find more gold?,81
voluntarily,adverb,C1,The most enthusiastic volunteers participated most voluntarily in the challenging clean-up effort.,106
draft/draught,noun,B2,"You’ve experienced this cold draught before, haven't you?",165
bothersome,adjective,B2,"This persistent noise is quite bothersome, isn't it?",165
inside,adverb,A2,This box is smaller inside than that one.,107
wrack,verb,C2,He will not wrack his brain for an answer.,173
anchored,adjective,C1,This is a securely anchored ship.,5
suck,verb,B2,The kite's fabric had been sucked inside out by the strong wind.,155
kinetic,adjective,C2,What kind of energy were you talking about? The kinetic kind.,163
community,noun,B2,The local community deeply felt the impact of the new factory's closure.,153
shall,modal auxiliary,A2,"If you finish your homework, we shall watch a film.",102
cursor,noun,B2,My friend has accidentally deleted the entire document with a misplaced cursor.,164
unhelpful,adjective,B2,My attempt to fix the computer has been quite unhelpful so far.,160
anthropologist,noun,C1,Don't question the anthropologist's interpretation of the ancient artifact.,44
mad,adjective,A2,He can't be mad at us.,85
section,noun,A1,We are the history section.,67
certify,verb,B2,The building's safety can be certified by a qualified inspector.,147
arithmetic,noun,B1,My little brother struggled with his arithmetic.,136
sightseeing,noun,A2,"After our trip, we will look at the photos from our sightseeing.",105
maliciously,adverb,C2,Have you seen anyone deliberately and maliciously spread rumors?,162
earnings,noun,B2,My investment earnings have stayed consistent this quarter.,148
laptop,noun,B2,My old laptop has finally been replaced.,166
balanced,adjective,B2,The meal was always prepared in a balanced way.,156
boost,verb,B2,Regular exercise has boosted my energy levels.,153
flu,noun,B1,Did you catch the flu last winter?,133
net,adjective,A2,This team's performance wasn't as net positive as we hoped.,110
mature,adjective,B2,The company is now able to produce mature products.,141
initiative,noun,B2,Was that new marketing initiative approved by the board?,158
stair,noun,A2,He walked up the third stair.,113
left,noun,A2,What will be left for us to eat?,81
royalty,noun,B2,The entire estate was left to the **royalty** by the eccentric millionaire.,156
advance,verb,B1,The soldiers advanced cautiously into the unknown territory.,125
tight,adverb,B2,The door was held so tight that I couldn't open it.,148
abstract,adjective,B1,The artist's early work was quite abstract.,126
undress,verb,B1,I undressed quickly before going to bed.,120
exhibitionist,noun,C1,"He was known as a bit of an exhibitionist, always the first to have his talent brought before the adoring crowd.",149
palace,noun,A1,There are palaces in the city.,39
wayward,adjective,C2,The coach has agreed to guide the wayward athlete back to success.,167
household,noun,B1,The whole household slept soundly after the long day.,120
wooded,adjective,C1,It's a beautiful wooded area.,2
zoology,noun,C2,That student has excelled in zoology.,151
world,noun,A1,There is a big world.,36
combine,verb,B1,They combined their efforts to reach the summit.,122
dish,noun,A1,I don't eat that dish.,49
salesperson,noun,B2,Some experienced salesperson can help you find the right product.,171
compute,verb,B2,I have never needed to compute complex mathematical equations for my job.,161
rush,noun,A2,You may not join the rush to the exit.,97
reassure,verb,C1,His constant effort doesn't fail to reassure his worried parents.,58
am,be-verb,A1,Am I a student?,12
employee,noun,B2,Have you spoken to the new employee about their role?,162
fraud,noun,B2,The investigation into the accounting fraud is ongoing.,159
angel,noun,A2,He isn't acting like an angel right now.,73
spire,noun,C2,"You've seen that tall spire before, haven't you?",165
sunset,noun,B1,We awoke to a beautiful sunset.,128
police station,noun,A2,"They are going to the police station, aren't they?",77
doll,noun,A1,How many dolls have you got?,31
glee,noun,B2,The children's faces were *grown* with glee as they unwrapped their presents.,155
coconut,noun,B2,The fresh coconut water has been bottled.,166
diary,noun,A2,I must write in my diary every day.,94
contractually,adverb,C2,Some employees are contractually obligated to work overtime.,171
scandal,noun,B2,The company's latest financial scandal has recently broken.,154
help,noun,A2,What help will you need for the project?,81
hastily,adverb,B2,He was able to finish the report hastily before the deadline.,141
netsurfer/net surfer,noun,B2,The curious netsurfer might be surprised by the amount of misinformation online.,147
appeal,noun,B1,Did the new marketing campaign have a strong appeal to young people?,133
ecologically,adverb,B2,The company's waste can be managed more ecologically.,147
versatile,adjective,C1,What is it? - It's a really versatile kitchen tool.,8
specially,adverb,B1,We bought some flowers specially for your visit.,121
herald,noun,C2,Was there any herald of the coming storm?,172
hurry,verb,A2,"You don't need to hurry, can you?",89
retrospection,noun,C2,"In retrospection, I realize I should have asked for directions sooner.",160
audio,adjective,A2,Are you listening to the audio book?,74
rare,adjective,B1,Who was this rare bird?,137
comic,adjective,A2,This joke isn't as comic as the last one.,110
while,noun,B1,Did you finish the book while you were on holiday?,133
will,modal auxiliary,A1,They will be happy.,67
missing,adjective,A2,The missing child was the second child found.,113
digitalization/digitalisation,noun,C1,"The company is embracing digitalization, isn't it?",65
allot,verb,C2,My teacher will allot more time for homework.,164
hot,adjective,A1,I am hot.,68
colonial,adjective,B2,The old traditions weren't entirely erased by the colonial administration.,157
fuss,noun,B1,She was always making a fuss about nothing.,122
slogan,noun,B1,The team decided on a catchy slogan.,121
burn,noun,A2,My arm can't take another burn.,85
impression,noun,B1,She felt a good impression from the new colleague.,120
cognitive,adjective,C2,The teacher dreamt of better cognitive development for her students.,153
ointment,noun,B2,The persistent rash has finally been treated with a special ointment.,166
ventilate,verb,C1,You may not ventilate the room without my consent.,97
collide,verb,C2,Two cars collided head-on.,149
disregard,noun,B2,The initial warning was met with a complete disregard by the team.,145
unimaginable,adjective,B2,The suffering of the victims was unimaginable.,153
welcome,noun,B2,We gave our new neighbors a warm welcome.,149
spread,verb,B2,The news of the event spread quickly through the town.,149
deliberately,adverb,B2,What did you leave on the table? - I deliberately forgot to pick it up.,163
business,noun,A1,They haven't got much business.,11
eminence,noun,C2,His eminence was recognized everywhere.,159
ship,verb,B1,Did they ship the package on Friday?,133
rhinoceros,noun,B2,I have never seen a rhinoceros in the wild.,161
lonely,adjective,A1,There isn't a lonely person here.,37
muscular,adjective,C1,The athlete who won the gold medal was known for his exceptionally muscular physique.,175
front,noun,A2,You may not stand at the front.,97
memorize/memorise,verb,B1,My brother had to memorize the whole poem for school.,136
reflective,adjective,B2,We will have to be more reflective in our approach to problem-solving.,140
chill,verb,C1,Who must chill tonight?,94
notoriously,adverb,C2,The old café is notoriously difficult to find.,168
inexplicably,adverb,C1,"Where is the book that you were just reading, the one that inexplicably vanished from the table?",20
millionaire,noun,B2,He had always dreamed of becoming a millionaire.,151
reservation,noun,B1,He had a reservation at the hotel for his visit.,122
burgle,verb,B2,The thieves had burgled the jewellery store last night.,149
gruesome,adjective,C1,What kind of sight was that? - It was gruesome.,23
unharried,adjective,C2,Her unharried expression indicated that she hadn't been rushed.,157
structural,adjective,C1,May I request a structural assessment of the building's integrity?,98
bay,noun,A2,Who is barking at the bay?,76
specify,verb,B2,The user must specify the desired color for the paint.,147
mess,verb,B2,The toddlers managed to mess up the entire kitchen in minutes.,167
feed,verb,B1,We fed the dog at lunchtime.,124
proverbial,adjective,C2,He finally solved the proverbial puzzle.,143
lawmaker,noun,B2,Was that proposal supported by any lawmaker?,158
insult,noun,B2,Have you ever received such a public insult?,162
shocking,adjective,B1,We thought the news was shocking.,118
brass,noun,B1,The old door handle was made of polished brass.,125
librarian,noun,B1,The librarian found an old book last week.,119
pack,noun,A2,"You can carry this whole pack, can't you?",89
treat,verb,B2,Have you ever treated yourself to a spa day?,162
radiate,verb,B2,Have you ever felt a room radiate warmth from a friendly smile?,162
sail,verb,B2,The boat was beautifully sailed across the bay.,145
merit,verb,C2,This suggestion merits further investigation by the committee.,159
