lang,level,topic_en,question
English,B2,how you get around your city,How do you typically travel to different parts of your city?
English,B2,a mistake you learned something from,Can you describe a time when you made a mistake and learned a valuable lesson from it?
English,B2,your favorite way to relax,What is your favorite way to unwind after a long day?
English,C1,"what makes a good leader, in your opinion","In your view, what single quality is most crucial for a leader to possess?"
English,C1,your favorite type of music to relax to,What specific characteristics of ambient electronic music help you unwind and destress after a long day?
English,C1,your neighborhood,Could you describe a hidden gem within your neighborhood that most visitors would likely miss?
English,C1,a decision you're proud of,Can you describe a significant personal decision you've made and explain why you feel a sense of pride regarding its outcome?
English,C1,your favorite food,"What is the most exquisite ingredient you've ever savored in a dish, and how did it elevate your culinary experience?"
English,C1,what you would do if you had more free time,"If you suddenly found yourself with an abundance of free time, what fulfilling pursuit or restorative activity would you prioritize?"
English,C1,what you would do with an unexpected day off,"If you were granted an unexpected day off, what single activity would most appeal to you?"
English,C1,your favorite holiday,"What's your most cherished memory from your favorite holiday, and why does it hold such significance for you?"
English,C1,your daily routine,Could you describe the most unusual or unexpected event that has ever occurred during your daily routine?
English,C1,your typical breakfast,Could you describe the typical components and preparation method of your morning meal?
English,C1,a pet you have or would like to have,"If you could have any exotic pet, what would be the biggest challenge you anticipate in its care?"
English,C1,a book you like,Could you describe the central themes that resonated most strongly with you in the novel?
English,C2,your neighborhood,Can you elaborate on the socio-economic dynamics that have reshaped the character of your neighborhood over the past decade?
English,C2,how you spent last weekend,"Considering the myriad of activities one could engage in, how did you choose to spend your past weekend in a way that was most profoundly enriching?"
English,C2,a piece of advice someone gave you that stuck,What was the most potent piece of advice you've ever received that indelibly shaped your perspective?
English,C2,your best friend,In what profound and unexpected ways has your best friend's presence consistently shaped your worldview?
English,C2,something that made you happy recently,What particular serendipitous encounter recently brought a profound sense of joy into your day?
English,C2,your favorite sport,"Considering the strategic ebb and flow of your favorite sport, what aspect of its tactical evolution do you find most intellectually stimulating?"
English,C2,a pet you have or would like to have,"If you were to own an animal with an extraordinary lifespan, which species would you choose and why would its longevity be a significant factor in your decision?"
English,C2,your favorite music,"What specific, perhaps obscure, genre of music do you find yourself inexplicably drawn to, and what is it about its peculiar sonic landscape that captivates you most profoundly?"
English,C2,what are your plans for today,"Once you've concluded your morning ablutions, what specific objectives do you intend to tackle before the day draws to a close?"
English,C2,your hobbies,"When the weather permits, what niche outdoor pursuits do you find yourself irresistibly drawn to?"
English,C2,the room you are in right now,Could you perhaps elaborate on the prevailing aesthetic and functional nuances that define the spatial arrangement of this immediate environment?
English,C2,your favorite time of year,What are your innermost contemplations and sensory delights when autumn's melancholic beauty descends?
Ukrainian,A1,your job or studies,Ти вчитель?
Ukrainian,A1,a game you enjoy playing,Яку гру ти любиш грати?
Ukrainian,A1,a language you'd like to speak,Яку мову ви хотіли б знати?
Ukrainian,A1,your morning routine,Що ти робиш зранку?
Ukrainian,A1,a recent trip or a place you'd like to visit,Ви подорожували до Карпат?
Ukrainian,A1,your favorite way to spend a rainy day,Як ти любиш проводити дощовий день?
Ukrainian,A1,what you usually do after work or school,Що ти робиш після роботи?
Ukrainian,A1,what you had for breakfast,Що ти їв на сніданок?
Ukrainian,A1,your favorite time of year,Яка ваша улюблена пора року?
Ukrainian,A1,your favorite color and why,"Якого кольору твоя улюблена, і чому?"
Ukrainian,A1,a pet you have or would like to have,Яке домашнє улюбленець ти хочеш мати?
Ukrainian,A1,your favorite season and why,Яка твоя улюблена пора року і чому?
Ukrainian,A2,what you usually do after work or school,Що ви зазвичай робите після роботи чи школи?
Ukrainian,A2,something that made you happy recently,Що тебе нещодавно порадувало?
Ukrainian,A2,your morning routine,Що ти робиш першим вранці?
Ukrainian,A2,your best friend,Хто твій найкращий друг?
Ukrainian,A2,a game you enjoy playing,Яку гру ти любиш грати?
Ukrainian,A2,how many people are in your family,Скільки людей у твоїй родині?
Ukrainian,A2,your favorite sport,Який ваш улюблений вид спорту?
Ukrainian,A2,your family,Скільки членів у вашій родині?
Ukrainian,A2,your favorite food,Яка твоя улюблена українська страва?
Ukrainian,A2,a movie or show you watched recently,Який фільм ти дивився минулого тижня?
Ukrainian,A2,your favorite music,Яка твоя улюблена музика?
Ukrainian,A2,how are you today,Як справи сьогодні?
Ukrainian,B1,what your life might look like in five years,"Яким, на вашу думку, буде ваше життя через п'ять років?"
Ukrainian,B1,describe something you can see around you,Що ви бачите за вікном?
Ukrainian,B1,how you spent last weekend,Як ти провів минулі вихідні?
Ukrainian,B1,a language you'd like to speak,"Якою мовою ти б хотів би розмовляти, окрім української?"
Ukrainian,B1,your favorite food,Яку страву української кухні ти любиш найбільше?
Ukrainian,B1,something you'd like to change about your daily routine,Що б ти хотів змінити у своєму щоденному розкладі?
Ukrainian,B1,a skill you'd like to learn,Яку нову мову ти хотів би вивчити?
Ukrainian,B1,what you had for breakfast,Що ти їв/їла на сніданок сьогодні?
Ukrainian,B1,your morning routine,Що ти робиш кожного ранку?
Ukrainian,B1,your favorite place to eat,Де ти любиш їсти найкраще?
Ukrainian,B1,a movie or show you watched recently,"Чи дивилися ви нещодавно якийсь цікавий фільм, який б хотіли порекомендувати?"
Ukrainian,B1,a pet you have or would like to have,"Чи маєш ти домашню тваринку, яку б хотів мати?"
Ukrainian,B2,your favorite holiday,Яка твоя улюблена святкова страва?
Ukrainian,B2,your favorite color and why,Якого кольору ви віддаєте перевагу і чому?
Ukrainian,B2,something that made you happy recently,Що нещодавно викликало у Вас справжню радість?
Ukrainian,B2,how are you today,Як ти сьогодні?
Ukrainian,B2,the last gift you gave someone,"Який був останній подарунок, який ви комусь подарували?"
Ukrainian,B2,"what makes a good leader, in your opinion","Як на вашу думку, які ключові якості притаманні хорошому лідеру?"
Ukrainian,B2,a game you enjoy playing,"Яку гру, в яку ти любиш грати, можна назвати найбільш захоплюючою і чому?"
Ukrainian,B2,what did you do yesterday,Що ти робив учора?
Ukrainian,B2,your favorite type of music to relax to,"Яку музику ти найбільше любиш слухати, щоб розслабитися?"
Ukrainian,B2,your favorite app or website,Який додаток чи вебсайт ти використовуєш найчастіше для перегляду відео?
Ukrainian,B2,your favorite music,"Яку музику ти слухаєш, коли хочеш розслабитися?"
Ukrainian,B2,a recent trip or a place you'd like to visit,"Яку країну, яку ви ніколи раніше не відвідували, ви хотіли б побачити найближчим часом і чому?"
Ukrainian,C1,a language you'd like to speak,"Якою мовою ви б хотіли вільно володіти, якби мали необмежений час на навчання?"
Ukrainian,C1,what is the weather like,Яка зараз погода за вікном?
Ukrainian,C1,your favorite holiday,"Яке Ваше улюблене свято, і чому саме воно викликає у Вас такі теплі почуття?"
Ukrainian,C1,your best friend,"Опиши, будь ласка, найяскравішу спільну пригоду з твоїм найкращим другом."
Ukrainian,C1,what did you do yesterday,"Що ви робили вчора, окрім звичайних справ?"
Ukrainian,C1,your typical breakfast,"Який ваш типовий український сніданок, і чому ви його обираєте?"
Ukrainian,C1,your family,"Чи могли б ви описати свою найближчу родину, згадавши два-три найважливіші для вас аспекти їхніх стосунків?"
Ukrainian,C1,a piece of advice someone gave you that stuck,"Яка порада, що вам колись дали, досі залишається актуальною і впливає на ваші рішення?"
Ukrainian,C1,something you used to believe but don't anymore,"Чи пам'ятаєш ти, коли вірив у те, що в дитинстві здавалося тобі цілком реальним, але зараз виглядає наївним?"
Ukrainian,C1,what you would do with an unexpected day off,"Якби у вас несподівано з'явився вільний день, що б ви зробили?"
Ukrainian,C1,the last gift you gave someone,"Який був останній подарунок, який ти зробив комусь, і чому саме він?"
Ukrainian,C1,a skill you'd like to learn,"Яку б навичку ви б хотіли опанувати, якби мали необмежений час і ресурси?"
Ukrainian,C2,your favorite music,"Який музичний напрямок, що здобув визнання в Україні останнім часом, найбільше вплинув на ваше особисте естетичне сприйняття?"
Ukrainian,C2,what are your plans for today,Які у Вас плани на сьогодні?
Ukrainian,C2,your hobbies,"Що є найглибшим чи найцікавішим аспектом ваших улюблених хобі, що зазвичай залишається непоміченим для оточуючих?"
Ukrainian,C2,what did you do yesterday,"Що саме Ви робили вчора, аби навчитися чомусь новому?"
Ukrainian,C2,your morning routine,"Протягом якого часу ви зазвичай насолоджуєтеся ранковою кавою, заглиблюючись у читання новин або літератури?"
Ukrainian,C2,something you used to believe but don't anymore,"Чи було колись щось, у що ви свято вірили, а тепер вважаєте це наївним або помилковим?"
Ukrainian,C2,how are you today,Як Ваші сьогоднішні відчуття стосовно загального самопочуття?
Ukrainian,C2,something you'd like to change about your daily routine,"Якби ви могли змінити одну річ у своєму повсякденному розкладі, що б це було і чому?"
Ukrainian,C2,your favorite way to relax,Який ваш найулюбленіший спосіб відновити сили та гармонію після виснажливого дня?
Ukrainian,C2,how you'd describe your ideal weekend to a friend,"Як би ти, друже, описав свій ідеальний вихідний, якби мав необмежені можливості?"
Ukrainian,C2,a language you'd like to speak,"Якби ви могли опанувати будь-яку мову до рівня носія за одну ніч, яку б ви обрали і чому?"
Ukrainian,C2,how you spent last weekend,"Як минулих вихідних ви занурилися у вивчення чогось нового, що значно розширило ваші знання чи навички?"
Spanish,A1,a language you'd like to speak,¿Qué idioma te gustaría hablar?
Spanish,A1,your favorite music,¿Cuál es tu música favorita?
Spanish,A1,what you had for breakfast,¿Qué comiste para desayunar?
Spanish,A1,what are your plans for today,¿Qué planes tienes hoy?
Spanish,A1,your favorite type of music to relax to,¿Qué tipo de música te gusta para relajarte?
Spanish,A1,your daily routine,¿Qué haces por la mañana?
Spanish,A1,a game you enjoy playing,¿Te gusta jugar fútbol?
Spanish,A1,your favorite sport,¿Cuál es tu deporte favorito?
Spanish,A1,how you get around your city,¿Cómo te mueves por tu ciudad?
Spanish,A1,your family,¿Tienes hermanos?
Spanish,A1,what you usually do after work or school,¿Qué haces después del trabajo?
Spanish,A1,your best friend,¿Cómo se llama tu mejor amigo/a?
Spanish,A2,your favorite way to relax,¿Cuál es tu forma favorita de relajarte?
Spanish,A2,your best friend,¿Cómo se llama tu mejor amigo/a?
Spanish,A2,the room you are in right now,¿Qué objetos hay en esta habitación?
Spanish,A2,a recent trip or a place you'd like to visit,¿Adónde te gustaría viajar el próximo verano?
Spanish,A2,a language you'd like to speak,¿Qué idioma te gustaría aprender a hablar en el futuro?
Spanish,A2,your favorite way to spend a rainy day,¿Qué te gusta hacer cuando llueve mucho?
Spanish,A2,your hobbies,¿Qué te gusta hacer en tu tiempo libre?
Spanish,A2,a skill you'd like to learn,¿Qué nueva habilidad te gustaría aprender?
Spanish,A2,what did you do yesterday,¿Qué hiciste ayer?
Spanish,A2,your family,¿Cuántas personas hay en tu familia?
Spanish,A2,a book you like,¿Qué libro te gusta mucho?
Spanish,A2,how you spent last weekend,¿Qué hiciste el fin de semana pasado?
Spanish,B1,a piece of advice someone gave you that stuck,¿Qué consejo te ha quedado grabado?
Spanish,B1,what are your plans for today,¿Qué planes tienes para hoy?
Spanish,B1,your family,¿Cuántos hermanos y hermanas tienes en tu familia?
Spanish,B1,a game you enjoy playing,¿Cuál es tu juego favorito y por qué te gusta tanto?
Spanish,B1,your favorite place to eat,¿Cuál es tu restaurante favorito para comer en la ciudad?
Spanish,B1,how many people are in your family,¿Cuántas personas hay en tu familia?
Spanish,B1,your favorite type of music to relax to,¿Qué tipo de música prefieres para relajarte?
Spanish,B1,a tradition from your country you'd explain to a foreigner,¿Podrías contarle a un extranjero sobre la tradición de las posadas en México?
Spanish,B1,something you'd like to change about your daily routine,¿Qué te gustaría cambiar de tu rutina diaria?
Spanish,B1,what you usually do after work or school,¿Qué sueles hacer después del trabajo o de clase?
Spanish,B1,a language you'd like to speak,¿Qué idioma te gustaría poder hablar perfectamente?
Spanish,B1,describe something you can see around you,¿Qué objeto llamativo hay cerca de ti en este momento?
Spanish,B2,your favorite way to relax,¿Cuál es tu pasatiempo favorito para desconectar después de un largo día?
Spanish,B2,a book you like,¿Qué libro me recomendarías si tuviera un fin de semana libre y quisiera algo emocionante?
Spanish,B2,your neighborhood,¿Qué es lo que más te gusta de vivir en tu barrio?
Spanish,B2,your daily routine,¿Qué haces para mantenerte organizado durante la semana?
Spanish,B2,your favorite app or website,¿Cuál es tu sitio web favorito para aprender español y por qué?
Spanish,B2,what are your plans for today,¿Qué planes tienes para hoy?
Spanish,B2,your favorite food,¿Cuál es tu plato favorito para compartir con amigos?
Spanish,B2,what you had for breakfast,¿Qué desayunaste esta mañana?
Spanish,B2,your favorite time of year,¿Cuál es tu estación del año favorita y por qué?
Spanish,B2,what you usually do after work or school,¿Qué sueles hacer para relajarte después del trabajo o de las clases?
Spanish,B2,your favorite place to eat,¿Cuál es tu restaurante favorito para probar la paella?
Spanish,B2,how you get around your city,¿Qué medio de transporte prefieres para desplazarte por tu ciudad y por qué?
Spanish,C1,a tradition from your country you'd explain to a foreigner,"¿Podrías explicarle a un extranjero la tradición de ""la siesta"" en España y su importancia cultural?"
Spanish,C1,your hobbies,¿Qué pasatiempos te permiten desconectar completamente del estrés diario y recargar energías?
Spanish,C1,your neighborhood,¿Qué aspectos de tu barrio crees que podrían mejorar para fomentar una mayor cohesión social entre los residentes?
Spanish,C1,a piece of advice someone gave you that stuck,¿Qué consejo te han dado que todavía aplicas a tu vida?
Spanish,C1,a challenge you overcame recently,¿Cuál fue el mayor obstáculo que tuviste que superar para completar tu último proyecto ambicioso?
Spanish,C1,a decision you're proud of,¿Qué decisión importante en tu vida te ha dado más satisfacción personal?
Spanish,C1,your typical breakfast,¿Qué suele incluir tu desayuno típico para empezar el día con energía?
Spanish,C1,a skill you'd like to learn,¿Qué habilidad te gustaría perfeccionar para poder comunicarte con mayor fluidez en entornos profesionales internacionales?
Spanish,C1,the room you are in right now,¿Qué detalles de la decoración de esta habitación podrías describir que reflejen un estilo particular?
Spanish,C1,a language you'd like to speak,"Si pudieras dominar a la perfección cualquier idioma en el mundo, ¿cuál elegirías y por qué?"
Spanish,C1,a pet you have or would like to have,"Si pudieras tener cualquier mascota exótica, ¿cuál elegirías y por qué crees que sería compatible con tu estilo de vida?"
Spanish,C1,your favorite holiday,¿Cuál es tu festividad favorita y por qué crees que evoca tantas emociones en las personas?
Spanish,C2,how you spent last weekend,"¿Podrías relatarme, con todo detalle, cómo aprovechaste el pasado fin de semana, quizás mencionando alguna actividad imprevista que marcara una diferencia significativa en tu rutina habitual?"
Spanish,C2,something you'd like to change about your daily routine,¿Qué aspecto de mi rutina diaria desearía usted alterar radicalmente para optimizar mi productividad y bienestar personal?
Spanish,C2,a pet you have or would like to have,¿Qué virtudes intrínsecas y extrínsecas crees que debe poseer un animal de compañía ideal?
Spanish,C2,what you would do with an unexpected day off,"Si te dieran un día libre inesperado, ¿cuál sería tu capricho más extravagante?"
Spanish,C2,a game you enjoy playing,¿Cuál es el aspecto más intrincado de la estrategia de dominación en Catan que encuentras más gratificante?
Spanish,C2,"what makes a good leader, in your opinion","Desde tu perspectiva, ¿cuáles son las cualidades intrínsecas más determinantes para forjar un liderazgo verdaderamente inspirador y efectivo?"
Spanish,C2,your favorite sport,¿Podrías explicarme la intrincada coreografía táctica detrás de tu deporte favorito y cómo influye en la dinámica de juego?
Spanish,C2,your family,¿Podría relatarme algún recuerdo familiar imborrable que haya marcado su forma de entender el mundo?
Spanish,C2,your typical breakfast,"¿Podrías describir con precisión la composición y el método de preparación de tu desayuno habitual, incluyendo cualquier matiz cultural o preferencia personal que lo distinga?"
Spanish,C2,your favorite place to eat,"Si tuvieras que elegir un solo lugar para comer en el mundo, ¿cuál sería y por qué lo consideras un santuario culinario?"
Spanish,C2,a tradition from your country you'd explain to a foreigner,"¿Podría detallar los matices culturales y el simbolismo inherente a la celebración de la Nochevieja en España, más allá de la simple ingestión de las doce uvas?"
Spanish,C2,a mistake you learned something from,"¿Qué error, de alguna trascendencia, te ha enseñado una lección que hoy consideras invaluable?"
Korean,A1,your best friend,내 제일 친한 친구는 누구예요?
Korean,A1,your daily routine,아침에 무엇을 해요?
Korean,A1,your typical breakfast,아침에 무엇을 드세요?
Korean,A1,describe something you can see around you,주변에 뭐가 보여요?
Korean,A1,a skill you'd like to learn,저는 요리를 배우고 싶어요.
Korean,A1,your favorite way to relax,가장 좋아하는 휴식 방법은 무엇인가요?
Korean,A1,what did you do yesterday,어제 뭐 했어요?
Korean,A1,what are your plans for today,오늘 뭐 할 거예요?
Korean,A1,your favorite app or website,제가 제일 좋아하는 앱은 무엇인가요?
Korean,A1,your favorite season and why,"저는 여름을 가장 좋아하는데, 왜냐하면..."
Korean,A1,what you usually do after work or school,퇴근 후에 뭐 해요?
Korean,A1,your favorite time of year,저는 봄이 가장 좋아요.
Korean,A2,a language you'd like to speak,어떤 나라 말을 배우고 싶어요?
Korean,A2,your favorite way to spend a rainy day,비 오는 날에 제일 좋아하는 것은 뭐예요?
Korean,A2,your favorite way to relax,취미로 뭘 하면서 스트레스를 풀어요?
Korean,A2,a pet you have or would like to have,저는 강아지를 키우고 싶어요.
Korean,A2,your favorite color and why,당신이 가장 좋아하는 색깔은 무엇이고 왜 그런가요?
Korean,A2,your favorite app or website,제가 제일 좋아하는 앱은 뭐예요?
Korean,A2,how you spent last weekend,지난 주말에 뭐 했어요?
Korean,A2,the last gift you gave someone,지난번에 누구에게 무엇을 선물했어요?
Korean,A2,your job or studies,선생님은 무엇을 가르치세요?
Korean,A2,your hobbies,취미가 뭐예요?
Korean,A2,your favorite sport,가장 좋아하는 운동이 뭐예요?
Korean,A2,your favorite type of music to relax to,어떤 음악을 들으면 마음이 편안해지세요?
Korean,B1,what are your plans for today,오늘 뭐 할 거예요?
Korean,B1,how many people are in your family,가족은 몇 명이에요?
Korean,B1,what you would do if you had more free time,자유 시간이 더 많아진다면 무엇을 하고 싶으신가요?
Korean,B1,your favorite holiday,가장 좋아하는 명절은 무엇인가요?
Korean,B1,how your city has changed over the years,이 도시가 시간이 지나면서 어떻게 변했어요?
Korean,B1,how you get around your city,어떻게 도시를 돌아다니세요?
Korean,B1,your favorite music,어떤 종류의 음악을 가장 좋아하세요?
Korean,B1,what you would do with an unexpected day off,갑자기 하루 쉬게 되면 뭘 하고 싶어요?
Korean,B1,your typical breakfast,아침으로 보통 무엇을 드세요?
Korean,B1,your plans for the weekend,이번 주말에 뭐 할 거예요?
Korean,B1,how you spent last weekend,지난 주말에 뭐 했어요?
Korean,B1,a game you enjoy playing,어떤 게임을 즐겨 하세요?
Korean,B2,how you get around your city,도시에서 어떻게 이동하세요?
Korean,B2,your favorite place to eat,가장 좋아하는 식당은 어디인가요?
Korean,B2,your favorite season and why,가장 좋아하는 계절은 무엇이고 그 이유는 무엇인가요?
Korean,B2,your morning routine,아침에 일어나서 가장 먼저 무엇을 하세요?
Korean,B2,describe something you can see around you,지금 당신 주변에서 무엇이 보이나요?
Korean,B2,your favorite time of year,제가 가장 좋아하는 계절은 언제인가요?
Korean,B2,how are you today,오늘 기분이 어떠세요?
Korean,B2,what you would do if you had more free time,시간이 더 많으면 무엇을 하고 싶어요?
Korean,B2,the biggest difference between your hometown and a big city,고향과 큰 도시의 가장 큰 차이점은 무엇이라고 생각하세요?
Korean,B2,a recent trip or a place you'd like to visit,최근에 다녀온 여행 중에 가장 좋았던 곳은 어디인가요?
Korean,B2,your favorite color and why,가장 좋아하는 색깔은 무엇이며 그 이유는 무엇인가요?
Korean,B2,something you used to believe but don't anymore,"옛날에는 하늘이 어떻게 돌아가는지 정말 몰랐다고 생각했지만, 이제는 조금 알 것 같아요."
Korean,C1,your favorite way to relax,스트레스를 풀기 위해 가장 선호하시는 방법은 무엇인가요?
Korean,C1,your favorite holiday,어떤 명절에 가족들과 함께 보내는 것이 가장 큰 기쁨을 주나요?
Korean,C1,your plans for the weekend,주말에 특별한 계획이라도 있으신가요?
Korean,C1,your favorite way to spend a rainy day,비 오는 날 가장 좋아하는 나만의 시간 보내는 방법은 무엇인가요?
Korean,C1,your morning routine,아침 일찍 일어나서 가장 먼저 하는 일은 무엇인가요?
Korean,C1,the room you are in right now,지금 계신 방에 있는 물건들 중에 가장 흥미로운 것은 무엇인가요?
Korean,C1,your family,가족 구성원 중에 가장 기억에 남는 특별한 추억이 있다면 무엇인가요?
Korean,C1,your neighborhood,우리 동네에는 낯선 사람들에게도 친절한 분들이 많이 계신가요?
Korean,C1,a book you like,"어릴 때부터 지금까지 가장 인상 깊었던 책 한 권을 꼽는다면 무엇이며, 그 이유는 무엇인가요?"
Korean,C1,your favorite place to eat,"제일 좋아하는 맛집은 무엇이며, 그곳을 선택한 특별한 이유가 있다면 설명해주시겠어요?"
Korean,C1,a piece of advice someone gave you that stuck,저에게 깊은 인상을 남긴 조언은 무엇이었나요?
Korean,C1,your job or studies,제 직업을 통해 학생들의 언어 능력을 향상시키는 것이 제게 어떤 동기를 부여하는지 설명해주시겠어요?
Korean,C2,your typical breakfast,아침 식사로 평소에 즐겨 드시는 특별한 메뉴가 있으신가요?
Korean,C2,your morning routine,아침에 일어나면 가장 먼저 무엇을 하며 하루를 시작하시나요?
Korean,C2,something you'd like to change about your daily routine,매일 반복되는 일상에서 가장 바꾸고 싶은 한 가지는 무엇인가요?
Korean,C2,your favorite sport,제가 가장 좋아하는 운동인 수영에 대해 궁금한 점이 있으신가요?
Korean,C2,how you get around your city,서울에서 주로 어떤 교통수단을 이용하시나요?
Korean,C2,how you'd describe your ideal weekend to a friend,"주말에 친구와 함께 이상적인 하루를 보낸다면, 어떻게 묘사하시겠어요?"
Korean,C2,your favorite music,제가 가장 좋아하는 음악 장르가 무엇이라고 생각하십니까?
Korean,C2,how technology has changed the way you learn,기술 발전은 학습 방식에 어떤 혁신적인 변화를 가져왔다고 생각하십니까?
Korean,C2,something that made you happy recently,최근에 당신을 가장 행복하게 했던 순간은 언제였습니까?
Korean,C2,a decision you're proud of,제가 내린 결정 중 가장 자랑스러운 것은 무엇일까요?
Korean,C2,what you usually do after work or school,퇴근 후나 수업이 끝난 후에 무엇을 주로 하시나요?
Korean,C2,your favorite way to spend a rainy day,비 오는 날이면 빗소리를 들으며 창밖 풍경을 감상하는 것이 제게는 더할 나위 없는 행복입니다.
French,A1,your hobbies,Qu'est-ce que tu aimes faire pendant ton temps libre ?
French,A1,your job or studies,Qu'est-ce que tu étudies?
French,A1,describe something you can see around you,Qu'est-ce que tu vois sur la table ?
French,A1,your daily routine,Qu'est-ce que tu fais le matin ?
French,A1,what did you do yesterday,Qu'as-tu fait hier ?
French,A1,the last gift you gave someone,Quel était le dernier cadeau que vous avez offert ?
French,A1,your favorite way to relax,Qu'est-ce que tu aimes faire pour te détendre ?
French,A1,the room you are in right now,Où est cette pièce ?
French,A1,your favorite way to spend a rainy day,Comment aimez-vous passer un jour de pluie ?
French,A1,what is the weather like,Quel temps fait-il ?
French,A1,how you spent last weekend,Comment as-tu passé ton week-end ?
French,A1,a pet you have or would like to have,J'ai un chien.
French,A2,a skill you'd like to learn,Quelle nouvelle compétence aimerais-tu apprendre bientôt ?
French,A2,how many people are in your family,Combien de personnes y a-t-il dans ta famille ?
French,A2,a movie or show you watched recently,Quel film avez-vous regardé la semaine dernière ?
French,A2,your favorite food,Quel est votre plat français préféré ?
French,A2,your favorite way to spend a rainy day,Comment aimez-vous passer un jour de pluie ?
French,A2,your daily routine,Qu'est-ce que tu fais le matin avant de travailler ?
French,A2,your favorite sport,Quel est ton sport préféré ?
French,A2,the room you are in right now,Quelle est la couleur de la chaise où tu es assis(e) ?
French,A2,your favorite app or website,Quel est votre site web préféré pour apprendre de nouvelles recettes ?
French,A2,your best friend,Qu'est-ce que tu aimes faire avec ton meilleur ami ?
French,A2,your plans for the weekend,Qu'est-ce que tu vas faire ce week-end ?
French,A2,something that made you happy recently,Qu'est-ce qui t'a rendu heureux récemment ?
French,B1,your neighborhood,Qu'est-ce que vous aimez le plus dans votre quartier ?
French,B1,your typical breakfast,Qu'est-ce que tu manges et bois généralement au petit-déjeuner ?
French,B1,your favorite holiday,Quel est votre jour férié préféré et pourquoi ?
French,B1,your favorite sport,Quel est votre sport préféré et pourquoi ?
French,B1,how many people are in your family,Combien de personnes y a-t-il dans ta famille ?
French,B1,your plans for the weekend,Qu'est-ce que vous comptez faire ce week-end ?
French,B1,your favorite season and why,Quelle est votre saison préférée et pourquoi ?
French,B1,a mistake you learned something from,Quelle erreur t'a appris le plus sur toi-même récemment ?
French,B1,the room you are in right now,Dans quelle pièce te trouves-tu actuellement ?
French,B1,a decision you're proud of,Quel choix avez-vous fait dont vous êtes particulièrement fier ?
French,B1,a language you'd like to speak,Quelle langue aimeriez-vous pouvoir parler couramment ?
French,B1,what did you do yesterday,Qu'avez-vous fait hier ?
French,B2,how you'd describe your ideal weekend to a friend,Comment décrirais-tu ton week-end idéal à un ami ?
French,B2,your favorite sport,Quel est votre sport préféré et pourquoi vous plaît-il tant ?
